Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
5768,8,232,0.034482758620689655
5780,8,235,0.03404255319148936
5790,8,212,0.03773584905660377
5808,8,190,0.042105263157894736
5826,8,199,0.04020100502512563
5828,8,210,0.0380952380952381
5837,8,233,0.034334763948497854
5867,8,242,0.03305785123966942
5869,8,244,0.03278688524590164
5872,8,248,0.03225806451612903
5879,8,244,0.03278688524590164
5881,8,242,0.03305785123966942
5906,8,270,0.02962962962962963
5908,8,272,0.029411764705882353
5916,8,287,0.027874564459930314
5919,8,290,0.027586206896551724
5920,8,292,0.0273972602739726
5923,8,273,0.029304029304029304
5958,8,281,0.028469750889679714
5961,8,284,0.028169014084507043
5965,8,334,0.023952095808383235
5973,8,298,0.026845637583892617
5974,8,296,0.02702702702702703
5985,8,276,0.028985507246376812
5992,8,286,0.027972027972027972
5994,8,290,0.027586206896551724
6018,8,322,0.024844720496894408
6021,8,333,0.024024024024024024
6022,8,333,0.024024024024024024
6024,8,323,0.02476780185758514
6031,8,328,0.024390243902439025
6051,8,314,0.025477707006369428
6063,8,335,0.023880597014925373
6074,8,331,0.02416918429003021
6075,8,333,0.024024024024024024
6084,8,331,0.02416918429003021
6085,8,335,0.023880597014925373
6091,8,330,0.024242424242424242
6092,8,332,0.024096385542168676
6103,8,348,0.022988505747126436
6104,8,349,0.022922636103151862
6106,8,351,0.022792022792022793
6161,8,350,0.022857142857142857
6162,8,350,0.022857142857142857
6167,8,340,0.023529411764705882
6169,8,336,0.023809523809523808
6179,8,310,0.025806451612903226
6181,8,310,0.025806451612903226
6189,8,301,0.026578073089700997
6215,8,288,0.027777777777777776
6222,8,280,0.02857142857142857
6224,8,282,0.028368794326241134
6246,8,287,0.027874564459930314
6248,8,288,0.027777777777777776
6253,8,263,0.030418250950570342
6271,8,264,0.030303030303030304
6280,8,287,0.027874564459930314
6281,8,285,0.028070175438596492
6292,8,249,0.0321285140562249
6301,8,230,0.034782608695652174
6307,8,233,0.034334763948497854
6365,8,241,0.03319502074688797
6367,8,239,0.03347280334728033
6373,8,246,0.032520325203252036
